number,dataset,original_path,final_path,original_rows,final_rows,original_sha256,final_sha256
6,account_lifecycle_period,raw/core_product/06_account_lifecycle_period.csv,raw/core_product/06_account_lifecycle_period.csv,2367,2080,05f33078432ed12477df86b7274b7934eff599d4bfa63bd3f6b9c436ca3c23c7,5b90ecd4d264ed3c4d5044c05e2855780762104270aa8f810386e3dcc3805999
12,page_access_period,raw/core_product/12_page_access.csv,raw/core_product/12_page_access_period.csv,14500,16331,4f8d56faf88e8ca3b9bedc6999836481faf0dcae3c1355c37cc1ff78f60fb806,d521e31bac4422bb21968f991163f643312f85b0b19365ffc8508bcb9f10adbf
13,content_item_access_period,raw/core_product/13_content_item_access.csv,raw/core_product/13_content_item_access_period.csv,6500,7285,7dcc932f190d6f96778651cfdf2e345018fec24a750d9e70185df229440fbc07,3ceda64dedd1184a4ecc1e2edce2b1eb5a3cecfe45daa9a68943f28382e6b0a2
16,website_address_history,raw/core_product/16_website_address_history.csv,raw/core_product/16_website_address_history.csv,4049,4036,4468874c573ee6a17d80d877395199f27f748116c23a3884aa9cbdb2610d86d0,2df1bc64ffc486c7abfc8e6f3d8b78498d292d0b374250555634ecf1d323fc62
19,website_feature_enablement_period,raw/core_product/19_website_feature_enablement_period.csv,raw/core_product/19_website_feature_enablement_period.csv,4926,4926,b9cd3adff134ad8eddd9fa34343ef334a0722ee45d752507b11f8588633679bc,f1c20d3ebfab0518f352056e57e71659edd052dd22fb759761212b6584d2855e
20,feature_enablement_lifecycle_events,raw/core_product/20_feature_enablement_lifecycle_events.csv,raw/core_product/20_feature_enablement_lifecycle_events.csv,5706,5727,706abe723066c9b6d250be772a5a64d08678565f3d862dbc1e6daba3f20075b3,76d98bc3a57198e9a2800a15f32d305fae78665bad6fe2b6bb5f113c7479c6a3
36,visitor_member_linkage,raw/event_tracking/36_visitor_member_linkage.csv,raw/event_tracking/36_visitor_member_linkage.csv,6187,6150,d517edfa8a3081aa3d7e9a762cf822b8334d4e1ad4151e7be78ddf2486701f3c,b50b72f05780d8aa27b1c3a54f33c5ff79403a16faac45123f806794e5abbbaa
37,session_member_attribution,raw/event_tracking/37_session_member_attribution.csv,raw/event_tracking/37_session_member_attribution.csv,3493,3482,cd300655fcca85ae365573bf853fd66bfa86f3508539de1bfe9a133d42ae0841,ed6f5ee2095a101a8b14b1134b4f9e81455b98686c251a9c2117d35a3a0767e3
45,billing_cycle_period,raw/billing_payment/45_billing_cycle_period.csv,raw/billing_payment/45_billing_cycle_period.csv,637,729,f1551e524218593c09af2a09a1a54dfde22d48e54b562a286ccff8e8dd965686,389a7bd12240df1aadbe24eee6814d58c3205fcdbb9e5f1202b50633aa4fb44b
